88013,2142393,857,2.61
88013,4381172,887,2.72
88013,19039000,1083,27.17
88013,31326268,894,3.91
88571,436030,1068,50.87
88571,11445103,1176,51.96
95374,1554846,940,2.07
95374,2027203,919,3.04
95374,2142393,915,5
95374,4077654,817,3.59
95374,4381172,944,9.35
95374,4926683,806,3.91
95374,21284236,817,6.96
95374,31326268,937,11.96
105371,4381172,1532,1.41
105371,31326268,1547,8.15
105494,8218487,1048,28.59
105494,9436387,606,2.72
105494,11445103,1137,14.24
105494,18987488,1158,4.67
105494,19039000,1367,19.46
105494,21284236,2455,17.07
105494,31326268,2357,16.2
105494,32171795,613,20
105548,436030,721,51.74
105548,8218487,716,7.39
105548,11445103,859,46.09
105548,18987488,876,2.39
109185,4381172,2122,1.09
109185,8218487,982,20.76
109185,11445103,1104,9.78
109185,12818717,339,22.61
109185,17055993,326,3.26
109185,18987488,1123,3.59
109185,21284236,2242,12.5
109185,24520981,347,2.72
109185,31326268,2141,18.59
119608,4077654,2412,2.5
119608,4381172,2313,1.63
119608,8218487,1057,14.13
119608,11445103,1151,15.22
119608,18987488,1171,4.35
119608,21284236,2428,50
119608,31326268,2332,37.93
120449,893184,848,1.3
120449,1210189,918,2.28
120449,1809322,942,1.74
120449,4077654,1748,2.17
120449,4381172,1684,3.04
120449,9462231,768,8.26
120449,10816216,746,2.5
120449,11186444,772,8.8
120449,12818717,848,13.04
120449,14293695,949,15.22
120449,17055993,836,8.15
120449,21284236,1762,12.61
120449,24520981,856,1.3
120449,31326268,1699,16.2
120449,32171795,212,18.04
125873,893184,452,4.02
125873,2142393,2298,2.07
125873,4381172,2319,3.26
125873,8218487,586,18.7
125873,11445103,647,18.48
125873,12818717,430,20.22
125873,17055993,418,10.87
125873,18987488,668,7.72
125873,21284236,2510,12.5
125873,24520981,423,7.28
125873,31326268,2345,25.43
127517,185389,592,1.2
127517,893184,618,2.72
127517,1210189,721,1.09
127517,1809322,727,1.52
127517,2142393,1822,1.52
127517,4077654,1950,4.78
127517,4381172,1848,4.46
127517,8218487,998,13.91
127517,9462231,505,14.57
127517,10816216,482,3.7
127517,11186444,512,11.96
127517,12818717,614,18.91
127517,14293695,744,17.07
127517,17055993,600,21.85
127517,19039000,1005,19.35
127517,21284236,1966,13.15
127517,24520981,621,3.15
127517,31326268,1867,15.54
137953,2142393,1427,1.41
137953,4077654,1448,2.83
137953,4381172,1457,4.24
137953,21284236,1457,10.43
137953,31326268,1464,11.85
145243,4381172,2290,1.3
145243,8218487,1028,22.39
145243,11445103,1124,14.46
145243,18987488,1144,6.52
145243,21284236,2409,9.89
145243,31326268,2310,12.83
152456,9462231,2311,10
152456,10816216,2288,7.39
152456,11186444,2328,9.89
152456,12818717,2463,7.07
152456,17055993,2448,11.96
152456,19039000,1428,93.48
152456,21284236,238,26.52
152456,24520981,2468,6.41
152456,32171795,1733,22.61
158569,2142393,1592,1.09
158569,4381172,1621,1.96
158569,12818717,1004,11.63
158569,17055993,994,5.87
158569,19039000,1175,10.54
158569,21284236,1661,9.35
158569,24520981,1013,2.28
158569,31326268,1632,11.85
160456,2027203,726,1.63
160456,2142393,717,3.59
160456,4077654,670,1.63
160456,4381172,747,4.67
160456,4926683,666,26.3
160456,21284236,677,16.41
160456,31326268,743,38.8
164767,185389,753,1.41
164767,893184,766,5.22
164767,2142393,1698,2.28
164767,4077654,1875,1.96
164767,4381172,1721,5.65
164767,8218487,751,14.02
164767,11445103,930,7.83
164767,12818717,754,21.3
164767,17055993,738,11.85
164767,18987488,944,11.09
164767,21284236,1895,14.57
164767,24520981,757,3.91
164767,31326268,1745,23.59
167914,11445103,1806,9.35
167914,12818717,1740,11.3
167914,17055993,1726,21.74
167914,18987488,1811,47.39
167914,24520981,1747,34.46
167914,31326268,747,31.85
179128,17055993,218,1.52
179128,24520981,199,19.46
183501,314139,1289,3.37
183501,1651440,1302,10.76
183501,2142393,1170,10.54
183501,4077654,1442,6.2
183501,4381172,1184,7.61
183501,8218487,945,16.41
183501,11445103,1127,10.65
183501,18987488,1126,8.04
183501,21284236,1469,10.76
183501,31326268,1216,11.09
185389,282973,739,1.52
185389,364689,1071,1.2
185389,392155,540,4.13
185389,535541,608,1.09
185389,789663,756,3.7
185389,799053,787,1.41
185389,846278,663,4.89
185389,889135,488,4.02
185389,936288,634,5.54
185389,1063153,593,1.74
185389,1324202,1227,1.74
185389,1582565,325,2.28
185389,1642790,659,4.67
185389,1651440,337,5.87
185389,1801650,1337,1.41
185389,2018738,1129,4.46
185389,2796359,1077,3.37
185389,2937850,583,6.3
185389,3359668,969,1.3
185389,3586422,652,8.26
185389,3634152,1120,5.22
185389,3710384,714,5.76
185389,4036625,1594,5.76
185389,4293624,1202,2.83
185389,4357899,2492,2.07
185389,4490374,463,15.33
185389,4866850,1095,5.54
185389,7142620,2414,4.13
185389,8218487,1047,10.22
185389,8686621,2428,8.26
185389,9579840,1960,1.3
185389,11445103,1118,163.91
185389,19959651,2226,10.43
185389,21284236,2558,15.87
185389,31326268,2455,22.93
186567,1554846,629,2.17
186567,2027203,630,3.26
186567,2142393,594,5.98
186567,4077654,781,3.59
186567,4381172,619,14.13
186567,4926683,796,3.04
186567,5043737,886,1.74
186567,9436387,1113,8.26
186567,9462231,1673,7.39
186567,10816216,1649,6.74
186567,11186444,1690,2.61
186567,12818717,1830,11.41
186567,14293695,1974,9.57
186567,17055993,1815,11.85
186567,19039000,869,45.54
186567,21284236,804,16.63
186567,31326268,639,16.52
186567,32171795,1108,15.98
186790,1554846,1007,2.83
186790,2027203,986,2.72
186790,2142393,982,7.17
186790,4077654,881,3.04
186790,4381172,1011,8.91
186790,4926683,870,3.91
186790,21284236,881,5.76
186790,31326268,1004,17.93
189476,1809322,1371,1.74
189476,2142393,1468,5.11
189476,4381172,1484,5.11
189476,8218487,645,12.61
189476,9462231,1018,11.52
189476,10816216,1001,5
189476,11186444,1046,18.91
189476,12818717,1228,17.93
189476,14293695,1409,10.87
189476,17055993,1212,6.52
189476,19039000,190,12.72
189476,24520981,1228,2.93
189476,28022904,285,18.91
189476,31326268,1515,13.04
189476,32171795,778,13.15
190461,2142393,2089,1.2
190461,4077654,2331,1.41
190461,4381172,2105,2.28
190461,4926683,2348,1.09
190461,11445103,281,1.3
190461,18987488,294,59.02
190461,21284236,2356,22.93
190461,31326268,2135,22.28
214892,2027203,725,1.41
214892,4381172,722,4.46
214892,9462231,1598,3.48
214892,10816216,1574,13.04
214892,11186444,1613,8.37
214892,11445103,1792,12.07
214892,12818717,1744,43.26
214892,14293695,1879,12.61
214892,17055993,1729,18.91
214892,18987488,1796,7.61
214892,19039000,913,29.24
214892,21284236,848,29.57
214892,31326268,737,77.17
214892,32171795,1013,35.11
215300,314139,667,4.78
215300,1651440,659,10.43
217369,1554846,648,5.98
217369,2027203,642,10.22
217369,2142393,613,6.74
217369,4077654,738,8.15
217369,4381172,641,15.11
217369,4926683,749,6.3
217369,11445103,1872,7.72
217369,18987488,1876,2.93
217369,21284236,758,13.91
217369,31326268,655,18.8
222060,2142393,2326,2.17
222060,4381172,2351,4.35
222060,5043737,1360,1.63
222060,8218487,999,32.17
222060,11445103,1082,27.83
222060,18987488,1103,8.15
222060,19039000,1348,33.8
222060,21284236,2477,26.74
222060,31326268,2371,29.13
222060,32171795,632,46.52
229248,893184,785,1.85
229248,1210189,860,3.91
229248,1809322,882,4.24
229248,4077654,1801,1.41
229248,4381172,1729,8.7
229248,8218487,1171,11.85
229248,9462231,701,13.37
229248,10816216,679,7.28
229248,11186444,705,5.22
229248,11445103,1338,8.48
229248,12818717,784,11.85
229248,14293695,891,13.8
229248,17055993,772,14.89
229248,18987488,1354,6.52
229248,19039000,1053,16.09
229248,21284236,1816,17.83
229248,24520981,792,1.41
229248,31326268,1744,18.8
230097,893184,324,1.2
230097,2142393,2192,1.41
230097,4077654,2359,1.3
230097,4381172,2215,2.5
230097,5043737,1128,2.83
230097,8218487,739,22.72
230097,11445103,837,15.33
230097,12818717,305,46.63
230097,17055993,289,4.57
230097,18987488,857,12.28
230097,19039000,1117,32.83
